Nodes;Addjested Nodes
1669954996;{1669955013,1669954994,}
1669955004;{1669954995,1669955008,}
1669955006;{1669955012,1669954992,}
1669955008;{1669955004,1669955009,}
1669955009;{1669955008,3751589029,}
1669955012;{1669955016,1669955006,}
1669955013;{1669955017,1669954996,}
1669955014;{1669916284,3751589029,1669955015,}
1669955015;{1669955014,1669955016,}
1669955016;{1669955029,1669955026,1669955015,1669955012,}
1669955017;{1669955034,1669955013,}
1669955026;{1669955016,1669955038,}
1669955029;{1669955037,1669955016,}
1669955031;{388380313,388380311,1669955036,}
1669955034;{1669955036,1669955017,}
1669955036;{1669955031,1669955034,}
1669955037;{1669955039,1669955029,}
1669955038;{1669955026,1669955040,}
1669955039;{1669955037,}
1669955040;{1669955038,1669955041,}
1669955041;{1669955040,1669955045,}
1669955045;{1669955041,1669955047,}
1669955047;{1669955045,1669955049,}
1669955049;{1669955047,1669955084,}
1669955080;{1669955082,}
1669955082;{3751589081,1669955086,1669955080,}
1669955084;{1669955049,1669955107,}
1669955086;{1669955082,1669955088,}
1669955088;{1669955086,1669955092,}
1669955090;{1669955096,1669955100,}
1669955092;{1669955088,1669955098,}
1669955096;{1669955098,1669955090,}
1669955098;{1669955092,1669955096,}
1669955100;{1669955090,1669955103,}
1669955103;{1669955100,1669955113,}
1669955107;{1669955084,1669955109,}
1669955109;{1669955107,1669955117,}
1669955111;{2742951021,1669955115,}
1669955113;{1669955103,1669955119,4804769219,}
1669955115;{1669955111,1669955124,}
1669955117;{1669955109,2742951021,}
1669955119;{1669955113,1669955121,}
1669955121;{4804769624,1669955119,}
1669955123;{1669955137,3751589098,1669955128,4804769624,}
1669955124;{1669955115,1669955128,}
1669955128;{1669955124,1669955130,1669955123,}
1669955130;{1669955138,1669955128,}
1669955137;{1669955123,1669955140,1669955138,}
1669955138;{2742951039,1669955137,1669955130,}
1669955140;{1669955143,1669955137,}
1669955143;{1669955146,1669955140,}
1669955146;{1669955149,1669955143,4804769629,}
1669955149;{1669955152,1669955146,}
1669955152;{4841322806,1669955149,}
1669955155;{4841322802,4841322804,}
1669993442;{3214535894,4609566059,}
1670122083;{1576472796,1576496265,}
1670122086;{1576496265,1576472821,}
1670122105;{4230152860,1576596017,}
1670122106;{1576918364,1433216615,}
1670122107;{1576596090,1576918397,}
1670183322;{1782976561,1670183324,1668440305,}
1670183324;{1670183322,1670183353,1668440305,}
1670183330;{1670183353,1670265193,1670265200,}
1670183353;{1670183330,1673410484,1670183324,1673324651,}
1670183385;{4557643193,4396633776,}
1670183389;{4086644188,469943904,4804769210,}
1670265188;{1670265194,502281994,3102404371,1670265193,}
1670265193;{1670265188,1670183330,}
1670265194;{502281980,1670265188,1670265195,3102404387,}
1670265195;{1670265194,1670265196,}
1670265196;{1670265195,1670265198,}
1670265198;{1670265196,1670265200,}
1670265200;{1670183330,1670265211,1670265198,}
1670265211;{1670265200,1670265212,}
1670265212;{1670265211,1670265222,}
1670265222;{1673324651,1670265212,1670265224,}
1670265224;{1673410487,1673410484,1670265222,}
1670575114;{1579391712,1579391740,1670575117,}
1670575117;{1670575147,1670575114,}
1670575129;{1670575139,1579391753,}
1670575139;{1670575169,1670575129,}
1670575147;{1670575168,1670575117,}
1670575168;{1670575193,1670575147,}
1670575169;{1670575212,1670575139,}
1670575193;{1670575225,1670575168,}
1670575212;{1670575282,1670575169,}
1670575225;{4396633774,1668440302,1670575193,}
1670575282;{1670575212,4396633777,}
1670575343;{469943929,1670575346,4547743535,}
1670575346;{1670575343,4086644188,4547756665,}
1670847196;{1670847201,572354361,}
1670847201;{1670847206,1670847196,}
1670847206;{572354392,1670847201,}
1671860515;{1671860527,1671860517,}
1671860517;{1671860515,1671860519,}
1671860519;{1671860517,1671860526,}
1671860526;{1671860519,1671860529,}
1671860527;{4547756647,1671860515,}
1671860529;{1671860526,4547756649,5462963184,}
1671860535;{1671860537,1671860539,}
1671860537;{1671860559,1671860535,}
1671860539;{1671860535,4547756648,}
1671860559;{1671860537,4547756659,4547756658,}
1671860567;{4547756653,4547756645,}
1671860572;{1671860594,1671860602,4547743534,4547756653,}
1671860579;{1671860594,}
1671860594;{1671860579,1671860572,}
1671860602;{1671860572,1671860607,}
1671860607;{1671860602,1671860609,}
1671860609;{1671860607,4547764628,}
1671860628;{4547764628,}
1671860659;{1671860663,}
1671860663;{1671860659,1671860665,4086093835,}
1671860665;{1671860663,}
1671860667;{272505585,270952337,}
1671860669;{1671860679,572354361,}
1671860679;{1671860695,1671860669,}
1671860695;{1671860699,1671860679,}
1671860699;{1671860701,1671860695,}
1671860701;{1671860703,1671860699,}
1671860703;{1671860704,1671860701,}
1671860704;{1671860706,1671860703,}
1671860706;{1671860708,1671860704,}
1671860708;{1671860709,1671860706,}
1671860709;{1671860710,1671860708,}
1671860710;{1671860711,1671860709,}
1671860711;{1671860713,1671860710,}
1671860713;{1671860728,1671860711,}
1671860728;{1671860713,}
1673048884;{1080133710,265665796,2713288613,}
1673324651;{1670183353,1670265222,}
1673396677;{1673396678,1059973832,469943907,}
1673396678;{1059973915,1059973706,1673396677,}
1673396681;{4804769213,4804769214,}
1673396682;{4804769216,469943907,1059973658,}
1673396683;{4804769214,4804769215,}
1673410484;{1670265224,1670183353,1673410512,}
1673410487;{3102404574,1670265224,}
1673410512;{1673410484,4804769210,}
1673420477;{1059974070,1059973830,1673420478,}
1673420478;{1673420477,1673420479,}
1673420479;{1673420478,1673420480,}
1673420480;{1673420479,1673420481,}
1673420481;{1673420480,1673420482,}
1673420482;{1673420481,1673420483,}
1673420483;{1673420482,1059974070,}
1673455948;{1857428297,1673455951,}
1673455951;{1673455948,1673455952,}
1673455952;{1673455951,}
1673455971;{1059256483,5103259559,}
1673455976;{5103259558,5143294116,}
1673455979;{5143294116,5165090764,}
1673455982;{1059256407,1059256367,5165090764,1062662575,}
1673455985;{4849445610,4804769707,4804769716,}
1699117764;{1067029553,1067029577,}
1707485399;{1707485463,1707485449,}
1707485417;{1707485459,1707485446,}
1707485421;{1707485446,1707485425,}
1707485425;{1707485421,1116774790,}
1707485431;{401418052,1707485459,}
1707485436;{401418050,1707485466,}
1707485446;{1707485417,1707485421,}
1707485449;{1707485399,1707485454,476628549,}
1707485454;{1116774790,1707485449,}
1707485459;{1707485431,1707485417,}
1707485463;{3468334228,1707485399,}
1707485466;{1707485436,3468334228,}
1712618147;{1712618168,1712618176,3886200685,}
1712618150;{1712618188,1712618181,}
1712618152;{1712618165,1712618177,}
1712618154;{1712618192,2503667060,}
1712618156;{1712618194,1712618159,}
1712618158;{1712618166,1712618165,}
1712618159;{1712618156,1712618175,}
1712618160;{1712618176,1712618195,}
1712618161;{1712618164,1712618198,}
1712618162;{1712618184,1712618172,}
1712618163;{2380034092,1712618188,}
1712618164;{1712618181,1712618161,2380033864,2380034091,}
1712618165;{1712618158,1712618152,2380034520,}
1712618166;{4668703815,1712618158,4668703852,}
1712618167;{1712618189,3355589401,}
1712618168;{1712618186,1712618147,}
1712618169;{1712618193,1712618185,2380035510,}
1712618170;{1712618175,1712618171,}
1712618171;{1712618170,1712618190,}
1712618172;{1712618162,1712618187,}
1712618173;{1712618178,1712618193,}
1712618174;{3886200689,1712618192,}
1712618175;{1712618159,1712618170,}
1712618176;{1712618147,1712618160,}
1712618177;{1712618152,2380034092,}
1712618178;{2503667060,1712618173,}
1712618179;{1712618182,4668703815,}
1712618181;{1712618150,1712618164,}
1712618182;{1712618183,1712618179,4668703827,}
1712618183;{4668703828,1712618182,}
1712618184;{1712618198,1712618162,}
1712618185;{1712618169,4668703828,4668703848,}
1712618186;{1712618190,1712618168,}
1712618187;{1712618172,1712618189,}
1712618188;{1712618163,1712618150,}
1712618189;{1712618187,1712618167,}
1712618190;{1712618171,1712618186,}
1712618192;{1712618174,1712618154,}
1712618193;{1712618173,1712618169,}
1712618194;{1712618156,2280253909,2280253901,}
1712618195;{1712618160,2201581124,}
1712618198;{1712618161,1712618184,}
1763149601;{3769937591,265665231,}
1764248186;{265695764,265695763,}
1770460899;{449411623,1430980156,1430980157,1430980228,}
1770460901;{1770460904,1770460906,}
1770460904;{388389107,449411623,1770460901,}
1770460906;{1770460901,1770460908,}
1770460908;{1770460906,265700807,}
1781871133;{268807407,305506481,}
1781871141;{305506481,1087956502,4692953462,}
1781871142;{1781871143,4692953462,}
1781871143;{1781871144,1781871142,}
1781871144;{1781871143,1781871145,}
1781871145;{1781871193,1781871144,}
1781871176;{1781871190,1905948911,}
1781871190;{1781871176,1781871193,}
1781871193;{1781871145,1781871190,}
1781871196;{1087956502,1087956464,}
1782046073;{304589045,1782046077,}
1782046077;{1782046073,304589041,}
1782046078;{272503324,268807406,}
1782046088;{4086155138,268807406,}
1782046110;{1782046111,1782046113,}
1782046111;{1782046110,1782046114,}
1782046113;{1782046110,1782046114,}
1782046114;{1782046113,1782046111,3719837808,}
1782046120;{3719837808,476628706,}
1782046121;{476628706,476628722,}
1782046165;{3721564169,3721564128,}
1782046195;{3721564169,3721564175,}
1782386916;{2957703829,1782386917,4804769673,}
1782386917;{1782386916,1782386918,}
1782386918;{1843819087,4557643190,1782386917,}
1782386921;{4804769674,1782396676,}
1782386922;{1782386924,4804769674,}
1782386924;{1782386925,1782386922,}
1782386925;{5165387212,1782386924,1782386926,}
1782386926;{1782386927,1782386925,}
1782386927;{1782386926,1857428297,4087559842,}
1782386937;{1782386944,2639402476,1782386975,}
1782386944;{1782386953,1782386937,}
1782386953;{2641734236,1782386944,}
1782386975;{1782386937,1782386991,2641794281,}
1782386991;{1782386975,5165182111,}
1782387002;{5165182111,269254848,1059256455,}
1782387003;{1059256552,2641734229,}
1782396676;{1782386921,2957703829,1782418359,}
1782418353;{4804769673,1782418357,}
1782418357;{1782418353,1782418361,}
1782418359;{1782418364,1782396676,}
1782418361;{1782418357,1782418362,}
1782418362;{1782418361,1782418366,}
1782418364;{1782418368,1782418359,}
1782418366;{1782418362,1782418370,}
1782418368;{1782418372,1782418364,}
1782418370;{1782418366,1782418390,}
1782418372;{1782418374,1782418368,}
1782418374;{1782418392,1782418372,}
1782418390;{1782418370,1782418392,}
1782418392;{1782418390,1782418374,1782418394,}
1782418394;{1782418392,}
1782418415;{1059256588,1062662464,1782418420,1062662557,}
1782418420;{5103663257,1782418415,}
1782418435;{1782418457,5103663257,}
1782418457;{1782418460,1782418435,}
1782418460;{1782418457,2641818500,}
1782525204;{1782525231,}
1782525231;{1782525234,1782525204,}
1782525234;{1782525236,1782525231,}
1782525236;{1782525234,1062662447,}
1782546974;{1484515502,1484515491,}
1782546976;{1484515496,1484515501,}
1782546977;{1484515491,1484515492,}
1782546978;{1484515492,1484515496,}
1782554226;{1782554227,}
1782554227;{5143287416,1782554226,}
1782568054;{4804769669,4804769668,}
1782616612;{1782616613,4804769651,}
1782616613;{1782616615,1782616612,}
1782616615;{4804769650,1782616613,4170466202,}
1782616617;{1059234113,4804769648,}
1782616619;{1059234127,4170466106,}
1782616620;{1082586919,1059234156,5151427368,}
1782616622;{5143169246,4804769654,5186249701,}
1782616624;{293188056,5186249700,}
1782616627;{5186249705,5186249704,}
1782616645;{1782616666,4170466181,}
1782616662;{4170466106,1059234135,}
1782616666;{5103155130,1782616645,}
1782616674;{4170466179,1782616686,}
1782616685;{5103155133,5103155135,}
1782616686;{1782616674,1782616688,}
1782616688;{1782616686,5103155131,5103155139,}
1782617176;{1782617190,305433350,4692084530,}
1782617178;{272502890,306729313,}
1782617190;{306729313,1782617176,}
1782617196;{1782617203,1782617199,}
1782617199;{4692084530,1782617196,1782617200,}
1782617200;{1782617199,1782617298,}
1782617203;{1782617196,}
1782617298;{4692037422,1782617200,1782617306,}
1782617302;{306729313,1782617310,4692037422,}
1782617306;{1782617298,1782617317,}
1782617310;{1782617302,1891264198,}
1782617315;{1891264200,272502891,}
1782617317;{1782617306,}
1782617318;{4692084514,304588975,}
1782675978;{306729324,4719442313,4453428876,}
1782675983;{1782747083,1782675995,4692031719,}
1782675985;{1782675988,4692031719,}
1782675988;{1782676000,1782675985,}
1782675995;{1782675983,272502890,4692037417,}
1782676000;{1782675988,}
1782676004;{1782676007,}
1782676007;{4692031717,1782676004,1782676009,}
1782676009;{1782676007,}
1782747083;{427724416,1782675983,}
1782747091;{4453428877,4858118895,}
1782976503;{469931194,272500580,}
1782976505;{1446865378,1446865320,}
1782976508;{1446865341,1446865407,}
1782976544;{265665297,265665296,}
1782976547;{305166145,265665298,}
1782976549;{335974491,335974489,1446942272,}
1782976553;{1326828341,2958580453,}
1782976561;{1579391712,1670183322,}
1782976583;{1087021758,1087021181,}
1782976589;{1075226355,2109542503,}
1782976606;{860173360,318002193,}
1782976613;{4986508873,4986508895,4986508901,4986508874,}
1782976627;{1075226365,305251102,}
1782976692;{1080045194,1080045177,}
1782976734;{1782976742,1080045194,}
1782976742;{1080045190,1782976734,}
1782976766;{1080045115,1080045217,}
1782976768;{1080045190,1782976770,}
1782976770;{1782976768,1080045171,}
1782976772;{272502889,4129478997,}
1782976774;{272502889,265665810,}
1782976781;{272502889,1852463476,}
1782976784;{272502889,1782976788,}
1782976786;{1782976787,}
1782976787;{1782976786,4719442308,}
1782976788;{1782976784,1782976806,4719442308,}
1782976789;{304588998,4692127756,}
1782976806;{1782976788,440408197,5462975173,}
1782976810;{4699841060,}
1782976830;{4719437807,440408197,}
1782976832;{440408197,1782976845,}
1782976834;{2947909810,}
1782976843;{4719442314,}
1782976845;{1782976832,427724416,4719442314,}
1783630460;{476628742,3721564079,}
1783630471;{3721564079,476628745,}
1783639383;{1783650286,}
1783639407;{1783639414,1783639416,}
1783639414;{1783639430,1783639407,3838886946,}
1783639416;{1783639407,1783639419,1783639439,}
1783639418;{1783639419,5135442916,}
1783639419;{1783639416,1783639418,1783639444,}
1783639421;{1783639423,5143707783,}
1783639423;{1783639425,1783639421,1783639431,}
1783639425;{5135442916,1783639423,1783639447,}
1783639428;{5143707783,5200040972,}
1783639430;{1783639414,3838886953,}
1783639431;{3806731576,1783639423,}
1783639432;{5143136517,5143136518,3838886951,}
1783639439;{1783639444,1783639416,}
1783639442;{1783639454,5143151756,}
1783639444;{1783639457,1783639439,1783639419,5143366917,}
1783639446;{1783639449,5143136517,}
1783639447;{1783639425,5103900400,3806731576,}
1783639448;{3806731576,1080912749,1080913610,}
1783639449;{5143366918,1783639446,}
1783639452;{3838886954,5143366918,}
1783639454;{5103709781,1784442056,4979994295,1783639442,}
1783639456;{5200069100,3838886955,}
1783639457;{1783639444,3806731573,5200069099,}
1783639459;{3806731573,1064998560,}
1783639461;{4979994292,4979994294,}
1783650286;{5143136518,1783639383,}
1783659644;{1783659666,1783659658,}
1783659656;{1783659660,1783659664,}
1783659658;{1783659644,1783659670,}
1783659660;{1783659681,1783659656,}
1783659664;{1783659656,1783659678,}
1783659666;{1783659672,1783659644,}
1783659670;{1783659658,1783659674,}
1783659672;{1783659676,1783659666,}
1783659674;{1783659670,1783659679,}
1783659676;{1783659672,}
1783659678;{1783659664,1783659689,}
1783659679;{1783659674,1783659685,}
1783659681;{1783659685,1783659660,}
1783659685;{1783659686,1783659681,1783659679,}
1783659686;{1783659691,1783659685,}
1783659688;{1783659705,1783659695,}
1783659689;{1783659678,1783659705,}
1783659691;{1783659693,1783659686,}
1783659693;{1783659706,1783659691,}
1783659695;{1783659688,1783659701,}
1783659701;{1783659695,1783659703,}
1783659703;{1783659701,3751609734,}
1783659705;{1783659689,1783659719,1080912626,1783659688,}
1783659706;{1783659709,1783659693,}
1783659709;{1783659710,1783659706,}
1783659710;{1783659714,1783659709,3751588926,}
1783659714;{1783659721,1783659710,}
1783659719;{1783659705,1783659723,}
1783659721;{1783659737,1783659714,}
1783659723;{1783659719,1783659726,}
1783659725;{1783659726,1783659732,}
1783659726;{1783659723,1783659725,}
1783659732;{1783659725,1783659734,}
1783659734;{1783659732,3838886936,}
1783659737;{1080915405,1783659721,}
1783671474;{4692953456,1783706377,}
1783671553;{2973366092,1783706383,}
1783671637;{268807413,2973366092,}
1783671648;{1891265235,476628711,}
1783681086;{1783681087,5143410257,}
1783681087;{5103134842,1783681086,}
1783681092;{1783681112,5103134838,}
1783681112;{1783681092,}
1783681120;{1082586932,1082586891,5103100044,}
1783681126;{1082586877,1082586871,}
1783681131;{1080914126,4352757186,}
1783681138;{1082586871,1082586961,}
1783706376;{305245833,1449495362,}
1783706377;{1783671474,4762768989,}
1783706378;{1783706379,}
1783706379;{4692953457,1783706378,}
1783706380;{4692953457,1783706383,4567635555,}
1783706383;{4692953454,1783671553,1783706380,}
1783706384;{1783706385,4692953454,}
1783706385;{1783706384,}
1783744118;{1783744120,1783775711,}
1783744120;{1449495328,1783744118,}
1783770708;{1449495311,1449495329,}
1783775711;{1783744118,1783775712,}
1783775712;{1783775711,1783775713,}
1783775713;{1783775712,1785852042,}
1783775714;{1785852042,1785852060,1785856498,}
1784430833;{1784430835,1064998559,}
1784430835;{1784430836,1784430833,}
1784430836;{1784430837,1784430835,}
1784430837;{3839529858,1784430836,}
1784430839;{1784430843,3839529858,}
1784430843;{3839529859,1784430839,}
1784430847;{1784430852,3839529859,}
1784430852;{1784430858,1784430847,}
1784430856;{3838836153,1784430858,}
1784430858;{1784430856,1784430852,}
1784430860;{1784430865,3838836153,}
1784430865;{3838836154,1784430860,}
1784430900;{1784430908,3838836858,}
1784430908;{3838836872,1784430900,}
1784430920;{1064998578,1784430934,}
1784430930;{3838836888,3838836875,}
1784430934;{1784430920,1784430969,}
1784430969;{1784430934,3838836888,}
1784430982;{1784430989,3838836888,3839544715,}
1784430989;{1784430991,1784430982,}
1784430991;{1784430996,1784430989,}
1784430996;{1784431001,1784430991,}
1784431001;{4671669260,1784430996,}
1784431013;{1784431017,4671669260,}
1784431017;{1784431021,1784431013,}
1784431021;{1784431017,}
1784431025;{3751589088,3751589082,}
1784431042;{3751589088,}
1784442047;{1784442048,3838836897,}
1784442048;{1784442049,1784442047,}
1784442049;{1784442051,1784442048,}
1784442050;{3838836899,1784442053,}
1784442051;{3838836903,1784442049,}
1784442052;{3838836905,3838836903,}
1784442053;{1784442050,1784442055,}
1784442054;{1784442057,3838836905,}
1784442055;{1784442053,3838836909,}
1784442056;{1791336188,1783639454,}
1784442057;{1784442062,1784442054,5104055695,}
1784442058;{3838836909,1784442060,}
1784442059;{3838836913,3838836912,}
1784442060;{1784442058,3838836913,}
1784442061;{3838836912,3751589082,}
1784442062;{1784442063,1784442057,}
1784442063;{1784442064,1784442062,}
1784442064;{1784442065,1784442063,}
1784442065;{3838836915,1784442064,}
1784442066;{1784442069,1784442068,}
1784442067;{1784442071,3838836915,}
1784442068;{1784442066,1784442070,}
1784442069;{1784442072,1784442066,}
1784442070;{1784442068,1784442073,}
1784442071;{1784442074,1784442067,}
1784442072;{1784442077,1784442069,}
1784442073;{1784442070,3838836917,}
1784442074;{1784442075,1784442071,3839544719,}
1784442075;{3838836916,1784442074,}
1784442077;{1784442082,1784442072,}
1784442079;{3838836917,1784442083,}
1784442081;{1784442084,3838836916,}
1784442082;{1784442089,1784442077,}
1784442083;{1784442079,1784442086,}
1784442084;{4170466306,1784442081,}
1784442086;{1784442083,4170466306,}
1784442089;{1784442090,1784442082,}
1784442090;{1784442112,1784442089,}
1784442112;{1784442142,1784442090,}
1784442142;{1784442148,1784442112,}
1784442148;{1784442149,1784442142,}
1784442149;{1784442150,1784442148,}
1784442150;{1784442151,1784442149,}
1784442151;{1784442152,1784442150,}
1784442152;{1784442153,1784442151,}
1784442153;{1784442154,1784442152,}
1784442154;{1784442155,1784442153,}
1784442155;{1784442156,1784442154,}
1784442156;{1784442158,1784442155,}
1784442158;{1784442162,1784442156,}
1784442162;{1784442163,1784442158,}
1784442163;{1784442164,1784442162,}
1784442164;{1784442166,1784442163,}
1784442166;{1784442170,1784442164,}
1784442169;{1082586921,1784442171,}
1784442170;{1784442173,1784442166,}
1784442171;{1784442169,1784442174,}
1784442173;{1784442176,1784442170,}
1784442174;{1784442171,1784442175,}
1784442175;{1784442174,1784442177,}
1784442176;{1784442178,1784442173,}
1784442177;{1784442175,1784442179,}
1784442178;{1784442181,1784442176,}
1784442179;{1784442177,1784442180,}
1784442180;{1784442179,1784442182,}
1784442181;{1784442187,1784442178,}
1784442182;{1784442180,1784442183,}
1784442183;{1784442182,1784442184,}
1784442184;{1784442183,1784442185,}
1784442185;{1784442184,1784442186,}
1784442186;{1784442185,1784442188,}
1784442187;{1784442189,1784442181,}
1784442188;{1784442186,1784442190,}
1784442189;{1784442191,1784442187,}
1784442190;{1784442188,1784442194,}
1784442191;{1784442192,1784442189,}
1784442192;{1784442193,1784442191,}
1784442193;{1784442195,1784442192,}
1784442194;{1784442190,1784442197,}
1784442195;{1784442196,1784442193,}
1784442196;{1784442198,1784442195,}
1784442197;{1784442194,1784442199,}
1784442198;{1784442200,1784442196,}
1784442199;{1784442197,1784442202,}
1784442200;{1784442201,1784442198,}
1784442201;{1784442203,1784442200,}
1784442202;{1784442199,1784442203,}
1784442203;{1784442202,1784442201,}
1785846127;{1785973029,1786344987,}
1785852042;{1783775713,1783775714,}
1785852060;{1783775714,1785852102,}
1785852102;{1785852060,}
1785856498;{1783775714,}
1785880647;{1349540700,1349540711,}
1785880654;{1449495297,1449495304,}
1785880688;{1449495320,1449495321,}
1785973025;{1075354516,306729242,}
1785973029;{4693504583,1785973035,1785846127,}
1785973031;{4768368024,}
1785973035;{4693504584,1785973036,1785973029,}
1785973036;{796952889,1785973035,}
1785973039;{1075354351,796952889,}
1786331703;{1786331704,1349540697,1349540700,}
1786331704;{1786331712,1786331703,}
1786331712;{1786331704,}
1786331728;{1349540711,1449495312,1786331730,}
1786331730;{1786331751,1786331728,}
1786331751;{1786331730,}
1786344956;{4693530347,}
1786344958;{4693530347,1786344982,}
1786344982;{1786344958,4693530345,}
1786344987;{4693530345,1785846127,4693530348,}
1786441242;{1786441244,4567635567,1349540697,}
1786441243;{4693530348,306729276,}
1786441244;{1786441242,1786441253,}
1786441253;{796952921,1786441244,}
1788564630;{1067029341,1067029491,1067029351,}
1788564722;{2958556635,1069990020,}
1788564754;{1069989392,1069989586,}
1788564759;{1788564760,1069989392,}
1788564760;{1069989384,1788564759,}
1788564812;{1069989538,1069989444,}
1788564827;{1088296427,1788564829,4763161468,}
1788564829;{1788564827,1788564836,}
1788564836;{1788564829,1788564855,}
1788564838;{1788564857,1088243421,}
1788564846;{1788564849,1088243421,}
1788564849;{1788564850,1788564846,}
1788564850;{1088243372,1788564849,}
1788564855;{1788564836,1788564859,}
1788564857;{1788564861,1788564838,}
1788564859;{1788564855,1788564863,}
1788564861;{1788564865,1788564857,}
1788564863;{1788564859,4763161514,}
1788564865;{4763161621,1788564861,}
1788564873;{4763161518,4763161519,}
1789937123;{1789937137,1789937124,}
1789937124;{1789937140,1789937123,}
1789937132;{1789937145,306729244,1789937135,}
1789937135;{1789937132,}
1789937137;{1789937140,1789937147,1789937123,}
1789937140;{1789937124,1789937144,1789937137,}
1789937144;{1789937140,306729239,1789937145,}
1789937145;{306729246,1789937132,1789937144,}
1789937147;{1789937137,}
1789937148;{306729247,306729246,1789937149,}
1789937149;{1789937148,}
1789963470;{4693550215,}
1789963471;{4693550215,2973365694,1187921026,}
1790097035;{1032151076,470037032,}
1790098533;{1075226398,1075226447,}
1790098534;{1790098535,}
1790098535;{1790098534,1790098543,}
1790098543;{1790098535,1790098545,}
1790098545;{1790098543,1790098546,}
1790098546;{1790098545,3922305105,}
1790098548;{3922305105,1790098550,}
1790098550;{2975220764,3922305128,1790098548,}
1790113817;{1087021270,1087021469,}
1790113824;{1087021451,1087021270,}
1790113831;{1087021632,1087021451,}
1790113849;{1260714543,1260714544,}
1790113865;{4764488069,4764488070,}
1790131323;{1087021508,1087021328,}
1790131465;{1790131467,1087021864,}
1790131467;{1790131468,1790131465,}
1790131468;{1790131485,1790131467,}
1790131485;{1790131506,1790131468,1790131491,}
1790131488;{1790131500,}
1790131491;{1790131494,1790131485,}
1790131494;{1790131497,1790131491,}
1790131497;{1790131504,1790131494,}
1790131500;{1790131488,1790131502,}
1790131502;{1790131500,1790131504,}
1790131504;{1790131502,1790131497,}
1790131506;{1790131485,}
1790141641;{4582583322,1087021555,}
1790141644;{1087021732,4582583322,}
1790141770;{1087021481,1087021571,}
1790143198;{4231809788,4231855810,364094330,}
1790198227;{307073361,4218686463,}
1790198254;{1790198256,915524685,}
1790198256;{1790198258,1790198254,}
1790198258;{1790198260,1790198256,}
1790198260;{1790198264,1790198258,}
1790198262;{1790198269,1790198264,}
1790198264;{1790198262,1790198260,}
1790198269;{1790198334,1790198262,}
1790198334;{1790198269,}
1790198464;{307073363,307073365,}
1790198694;{1167102559,1167102321,}
1790198709;{1167102712,1167102559,}
1790198810;{1167102489,1167102641,}
1790252133;{1790252138,1790252134,269442655,}
1790252134;{1790252137,1790252133,}
1790252137;{1790252138,1790252151,1790252134,}
1790252138;{1790252133,1790252145,1790252137,}
1790252145;{1790252138,}
1790252148;{307532167,4996186951,1790252158,}
1790252151;{1790252137,4764463191,4764463192,}
1790252158;{1873495352,1790252148,}
1790252159;{1873481718,1873495356,}
1790252160;{1790252161,1873481718,}
1790252161;{1790252162,1790252160,}
1790252162;{1790252163,1790252161,}
1790252163;{1790252164,1790252162,}
1790252164;{1873495385,1790252163,}
1790252165;{1087021540,1873495385,}
1790252166;{1790252167,1087021540,}
1790252167;{1790252169,1790252166,}
1790252168;{1790252170,1790252169,4443404275,}
1790252169;{1790252168,1790252167,}
1790252170;{1080133470,1790252168,}
1790276118;{1088434998,1088434781,}
1790276122;{1088433688,1088433297,}
1790276170;{1088434781,1088434312,}
1790276189;{1088433297,1790276232,}
1790276209;{1088434312,1790276226,}
1790276226;{1790276209,1790276266,}
1790276232;{1790276189,1088432882,}
1790276266;{1790276226,1088434176,}
1790330325;{1790330341,1088296378,1088296424,}
1790330330;{1088296580,1790330335,}
1790330335;{1790330330,1790330340,}
1790330340;{1790330335,1088296502,1790330370,}
1790330341;{1790330342,1790330367,1790330325,}
1790330342;{1790330341,1088296580,1790330368,}
1790330343;{1088296348,1088296399,}
1790330356;{1088296461,1790330369,}
1790330367;{1790330375,1790330341,}
1790330368;{1790330342,1790330371,}
1790330369;{1790330356,1088296473,}
1790330370;{1790330340,1790330374,}
1790330371;{1790330368,1790330376,}
1790330374;{1790330376,1088296473,1790330370,}
1790330375;{1790330379,1790330367,}
1790330376;{1790330379,1790330374,1790330371,}
1790330379;{1088296527,1790330376,1790330375,}
1790330382;{1790330383,1790330393,}
1790330383;{1790330403,1790330391,1790330382,}
1790330391;{1790330397,1790330383,}
1790330393;{1790330382,}
1790330397;{1790330401,1790330391,}
1790330401;{1790330405,1790330397,}
1790330403;{1790330383,1790330406,}
1790330405;{1790330411,1790330401,}
1790330406;{1790330423,1790330403,1790330415,}
1790330411;{1790330421,1790330405,}
1790330415;{1790330422,1790330406,1790330421,}
1790330421;{1790330415,1271625508,1790330411,}
1790330422;{1790330429,1790330415,}
1790330423;{1790330406,1790330429,}
1790330429;{1790330423,1790330422,}
1790330432;{1271632113,1271632110,}
1790330527;{3324081085,1067029461,}
1790330554;{1790330555,3324081090,}
1790330555;{1790330556,1790330554,}
1790330556;{1790330557,1790330555,}
1790330557;{1067029561,1790330556,}
1790330559;{2960189207,4200232464,2960189210,}
1790330571;{2960189206,}
1790330582;{1088434697,1088434235,}
1790330585;{1790330591,}
1790330588;{1088434235,1088433922,}
1790330591;{1790330585,1790330592,}
1790330592;{1790330591,1790330594,2960189220,}
1790330593;{1790330606,2960189221,1790330602,}
1790330594;{1790330592,1808611129,}
1790330602;{1790330593,433720476,}
1790330606;{1790330611,1790330593,}
1790330608;{1808611129,1790330609,}
1790330609;{1790330608,1790330610,}
1790330610;{1790330609,1790330613,}
